target,domain
cigna express scripts,health
smoking,health
vaccination,health
anthem cigna,health
covid19,health
atheism,religion
christianity,religion
antisemitism,religion
islam,religion
judaism,religion
donald trump,politics
hillary clinton,politics
ted cruz,politics
bernie sanders,politics
joe biden,politics
fox and disney,entertainment
league of legends,entertainment
justin bieber,entertainment
godfather,entertainment
johnny depp,entertainment
feminist movement,human rights
freedom of speech,human rights
gender equality,human rights
racial equality,human rights
liberty,human rights
ban on homosexuality,law
death penalty,law
gun control,law
maijuana legalization,law
legalization of abortion,law
lockdown in new york state,society
overpopulation,society
child labor,society
immigration,society
poverty,society
cloning,science
flat earth,science
genetic engineering,science
artificial intelligence,science
robots,science
school uniforms,education
online learning,education
exams and assessment tasks,education
flexibility of curriculum,education
year-round school,education
minimum wage,economy
progressive tax rate,economy
inflation bashing,economy
brexit,economy
universal basic income,economy
nuclear energy,environment
climate change,environment
animal rights,environment
plastics,environment
global warming,environment
nba,sports
messi,sports
olympic,sports
tennis,sports
lebron james,sports
japanese culture of ikebana,culture
jewish culture,culture
fashion as an integral aspect of modern culture,culture
culture clash,culture
cultural relativism,culture
materialism,philosophy
multiverse,philosophy
soul,philosophy
time travel,philosophy
big bang,philosophy
